# Total Phase Data Center(tm) v6.73
# (c) 2005-2017 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# 
Time (s),VBUS Voltage (V),VBUS Current (A),VCONN Voltage (V),VCONN Current (A),CC1 Voltage (V),CC1 Current (A),CC2 Voltage (V),CC2 Current (A)
0.097629,0.000000,0.000000,2.395000,0.000000,0.000000,0.000000,0.000000,0.000000
0.105629,0.000000,0.000000,2.395000,0.000000,0.000000,0.000000,0.000000,0.000000
0.113629,0.000000,0.000000,2.395000,0.000000,2.973000,0.000000,0.000000,0.000000
0.121629,0.000000,0.000000,2.395000,0.000000,2.973000,0.000000,2.395000,0.000000
0.129629,0.001000,0.000000,2.395000,0.000000,2.973000,0.000000,2.395000,0.000000
0.137629,0.001000,0.000000,2.395000,0.000000,2.973000,0.000000,2.395000,0.000000
0.145629,0.001000,0.000000,2.403000,0.000000,2.973000,0.000000,2.395000,0.000000
0.153629,0.001000,0.000000,2.403000,0.000000,2.973000,0.000000,2.395000,0.000000
0.161629,0.001000,0.000000,2.403000,0.000000,2.972000,0.000000,2.395000,0.000000
0.169629,0.001000,0.000000,2.403000,0.000000,2.972000,0.000000,2.400000,0.000000
0.177629,0.000000,0.000000,2.403000,0.000000,2.972000,0.000000,2.400000,0.000000
0.185629,0.000000,0.000000,2.403000,0.000000,2.972000,0.000000,2.400000,0.000000
0.193629,0.000000,0.000000,2.407000,0.000000,2.972000,0.000000,2.400000,0.000000
0.201629,0.000000,0.000000,2.407000,0.000000,2.972000,0.000000,2.400000,0.000000
0.209629,0.000000,0.000000,2.407000,0.000000,2.973000,0.000000,2.400000,0.000000
0.217629,0.000000,0.000000,2.407000,0.000000,2.973000,0.000000,2.403000,0.000000
0.225629,0.000000,0.000000,2.407000,0.000000,2.973000,0.000000,2.403000,0.000000
0.233629,0.000000,0.000000,2.407000,0.000000,2.973000,0.000000,2.403000,0.000000
0.241629,0.000000,0.000000,2.412000,0.000000,2.973000,0.000000,2.403000,0.000000
0.249629,0.000000,0.000000,2.412000,0.000000,2.973000,0.000000,2.403000,0.000000
0.257629,0.000000,0.000000,2.412000,0.000000,2.973000,0.000000,2.403000,0.000000
0.265629,0.000000,0.000000,2.412000,0.000000,2.973000,0.000000,2.411000,0.000000
0.273629,0.001000,0.000000,2.412000,0.000000,2.973000,0.000000,2.411000,0.000000
0.281629,0.001000,0.000000,2.412000,0.000000,2.973000,0.000000,2.411000,0.000000
0.289629,0.001000,0.000000,2.417000,0.000000,2.973000,0.000000,2.411000,0.000000
0.297629,0.001000,0.000000,2.417000,0.000000,2.973000,0.000000,2.411000,0.000000
0.305629,0.001000,0.000000,2.417000,0.000000,2.973000,0.000000,2.411000,0.000000
0.313629,0.001000,0.000000,2.417000,0.000000,2.974000,0.000000,2.411000,0.000000
